DoctorID,FirstName,LastName,Specialty,PhoneNumber,Email,Address,Availability,DepartmentID
58,Ellen,Williams,Neurology,914.452.4414,ellen@gmail.com,2782 Cooper Parkways Suite 206,12,8
59,Misty,Brown,Endocrinology,834-397-7484x94172,misty@gmail.com,797 Powell Tunnel Suite 079,5,9
60,William,Miller,Infectious Disease,965.421.0971x616,william@gmail.com,41802 David Greens Apt. 118,12,13
61,Deanna,Holloway,General Surgery,811-941-7989x096,deanna@gmail.com,454 Flowers Circle,4,20
62,Joseph,Sullivan,Infectious Disease,(932)483-0474,joseph@yahoo.com,805 Berger Parkway,5,13
63,Jeffrey,Ingram,Internal Medicine,939.388.5988,jeffrey@yahoo.com,611 Crawford Points Suite 559,5,25
64,Anthony,Ortiz,Rheumatology,001-641-637-9576x1250,anthony@yahoo.com,686 Gallegos Manor,9,9
65,Christopher,Prince,Oncology,+1-557-744-0334x090,christopher@yahoo.com,04672 Michelle Route,10,9
66,Terrence,Green,Ophthalmology,(931)635-3561x0366,terrence@gmail.com,2351 Mora Club Apt. 042,7,9
67,Stefanie,Lyons,Pain Medicine,+1-655-788-7817x446,stefanie@gmail.com,1855 Gordon Meadows Apt. 872,11,28
68,Elizabeth,Sanders,Infectious Disease,(753)540-9791,elizabeth@hotmail.com,950 Scott Creek Suite 492,5,13
69,William,Duncan,Vascular Medicine,998-994-7775,william@yahoo.com,077 Malone Tunnel Apt. 135,9,1
70,Charles,Reeves,Psychiatry,+1-516-824-0086x220,charles@yahoo.com,1939 Crystal Motorway Apt. 661,11,23
71,Kevin,Johnson,Pulmonology,410-784-8790,kevin@yahoo.com,768 Crane Streets Apt. 553,8,9
72,Christopher,Mueller,Dermatology,654-713-2657,christopher@hotmail.com,98309 Zachary Turnpike Suite 471,5,16
73,Lauren,Jones,Internal Medicine,001-953-348-3619x18255,lauren@yahoo.com,1732 Johnson Highway Apt. 014,11,25
74,Kevin,Ellis,Dermatology,964-470-2028x52856,kevin@gmail.com,80636 Ramos Mission Suite 435,10,16
75,Alejandro,Jimenez,Infectious Disease,3512139450,alejandro@gmail.com,66037 Megan Squares Apt. 736,12,13
76,Brenda,Perkins,Allergy,829.286.1074x75457,brenda@gmail.com,89409 Zuniga Curve,4,3
77,Jessica,Moore,Ophthalmology,001-931-761-1702,jessica@hotmail.com,283 Mcguire Valley,8,9
78,Jennifer,Gonzalez,Pain Medicine,(831)316-0930,jennifer@gmail.com,8112 Robertson Via,11,28
79,Robert,Steele,Ophthalmology,268.438.2150x90583,robert@hotmail.com,733 Rachel Creek,6,9
80,Miranda,Wang,Ophthalmology,+1-727-765-7829,miranda@hotmail.com,860 Melissa Wall Suite 841,12,9
81,Timothy,Jefferson,Neurology,001-213-914-9129x4517,timothy@hotmail.com,1768 William Valley,6,8
82,John,Terrell,Cardiology,(242)754-7967x8594,john@hotmail.com,4129 Dale Village,5,11
83,Justin,Butler,Psychiatry,439-918-5689x63066,justin@yahoo.com,838 Joshua Throughway Apt. 435,9,23
84,Wesley,Pratt,Cardiology,+1-530-861-0892,wesley@yahoo.com,78766 Jennifer Stravenue,7,11
85,Mia,Taylor,Oncology,001-356-650-1078x88252,mia@yahoo.com,122 Hughes Brooks Apt. 011,9,9
86,Pamela,Watkins,Endocrinology,3436058601,pamela@yahoo.com,704 Alejandra Ramp Suite 089,6,9
87,Terri,Lewis,General Surgery,438-590-3118x6284,terri@yahoo.com,93648 Kimberly Island,4,20
88,Gloria,Stewart,Dermatology,001-305-980-3689x21312,gloria@hotmail.com,0802 Ruiz Drive,5,16
89,Kathy,Schwartz,Oncology,721-286-4245,kathy@gmail.com,570 Davis Walk Suite 515,7,9
90,Amy,Tucker,Pain Medicine,+1-585-309-6448x8001,amy@hotmail.com,6603 Rios Key,5,28
91,Jonathan,Johnson,Hematology,315.531.0522x68913,jonathan@gmail.com,09148 Martin Field Apt. 313,7,16
92,Tara,Tran,Pulmonology,001-665-607-2496x335,tara@gmail.com,4810 Martinez Harbors Apt. 378,4,9
93,Danny,Townsend,Dermatology,(932)369-0227,danny@gmail.com,84575 Kenneth Radial Apt. 470,7,16
94,Jose,Bowen,Critical Care,604.546.0839,jose@gmail.com,718 Cynthia Motorway Suite 720,12,5
95,Felicia,Doyle,Pain Medicine,(744)552-3607x8124,felicia@gmail.com,63014 Brent Heights Suite 772,12,28
96,Misty,Thompson,Pain Medicine,001-908-303-4115x6761,misty@gmail.com,8860 John Lane Apt. 236,4,28
97,Kathleen,Mcfarland,Vascular Surgery,001-356-971-6051x9839,kathleen@hotmail.com,811 Christopher Junctions,12,20
98,Julie,Holland,General Surgery,+1-473-712-0871x90699,julie@yahoo.com,1069 Powers Prairie,7,20
99,William,Figueroa,Cardiology,001-570-946-2550x4188,william@gmail.com,05870 Kirk Tunnel Suite 979,10,11
100,Leonard,Jones,Vascular Medicine,001-318-571-5859x29263,leonard@gmail.com,87223 Davis Station,8,1
101,Stacy,Ballard,General Surgery,+1-959-254-5341x0635,stacy@hotmail.com,8278 John Ranch Apt. 093,6,20
102,Jeremy,Yang,Oncology,237-743-0815x361,jeremy@hotmail.com,9200 Suzanne Hills Apt. 278,12,9
103,Christina,Blair,Rheumatology,001-499-524-5349x9379,christina@gmail.com,41382 Davis Groves Suite 350,8,9
104,Keith,Hess,Vascular Surgery,(772)604-4550,keith@gmail.com,4313 Kelsey Heights,10,20
105,Lisa,Chapman,Cardiology,001-380-520-5588x0210,lisa@gmail.com,160 Randy Fork,4,11
106,Anita,Sampson,Orthopedics,8682778142,anita@yahoo.com,291 Adam Lake,5,1
107,Jennifer,Chase,Ophthalmology,(778)421-4089,jennifer@yahoo.com,752 Larson Turnpike Suite 175,9,9
108,Paula,Kelly,Critical Care,001-539-932-5377x686,paula@hotmail.com,735 Erica Skyway Suite 768,6,5
109,Dylan,Ball,Neurology,(507)345-9930,dylan@gmail.com,35209 Frederick Cove Suite 992,8,8
110,Brenda,Henry,Nephrology,+1-917-506-9194x26658,brenda@gmail.com,592 Gregory Shore Suite 877,9,8
111,Raymond,Sellers,Nephrology,469.920.7786x161,raymond@hotmail.com,084 Christopher Gateway,4,8
112,Crystal,Hill,Internal Medicine,671-467-5482,crystal@hotmail.com,85100 Parker Glen,8,25
113,Jay,Arroyo,Neurology,(243)944-8081x823,jay@gmail.com,2226 Timothy Road Suite 572,11,8
114,Michael,Williams,Critical Care,(805)366-9641,michael@gmail.com,08181 Erin Flat Suite 100,4,5
115,Chase,Branch,Psychiatry,001-395-515-4254,chase@gmail.com,719 Annette Knoll Apt. 819,10,23
116,Joel,Williams,Infectious Disease,(761)474-9752x3556,joel@hotmail.com,532 Powell Plain,5,13
117,Ashley,Le,Gynecology,(213)734-9611x043,ashley@yahoo.com,2884 Brittany Squares,10,9
118,Angela,Parker,Endocrinology,(973)974-5343x2607,angela@hotmail.com,94710 Williams Parkways,5,9
119,Randall,Brown,Otolaryngology,(906)343-1168,randall@yahoo.com,23221 Kimberly Overpass Apt. 180,11,9
120,Erin,Hubbard,Psychiatry,325-233-7957x976,erin@hotmail.com,133 Julie Mill,7,23
121,Brenda,Griffith,Endocrinology,001-880-505-4115x69394,brenda@gmail.com,86532 Neal Prairie,9,9
122,James,King,Rheumatology,200.915.1061x5113,james@hotmail.com,796 Amanda Manor,6,9
123,Michael,Werner,Pediatrics,759.483.7050,michael@yahoo.com,472 Mary Ramp Suite 456,10,1
124,Daniel,Valdez,Psychiatry,890-263-6689x5637,daniel@yahoo.com,08767 Dylan Key Apt. 782,4,23
125,Sara,Smith,Hematology,+1-581-938-7013x5525,sara@gmail.com,568 Calvin Keys,4,16
126,Tammy,Schaefer,Endocrinology,2769469184,tammy@gmail.com,20726 Chambers Forges Suite 022,7,9
127,Brian,Stevens,Hematology,6366230984,brian@yahoo.com,2658 Samantha Isle Suite 825,5,16
