StaffID,FirstName,LastName,Role,PhoneNumber,Email,Address,ShiftHours,DepartmentID
66,Jose,Colon,Receptionist,761.978.7491x4580,jose@yahoo.com,63359 Anthony Crossing Apt. 870,Night,5
67,Sydney,Smith,Receptionist,817-823-0617,sydney@hotmail.com,1866 Fitzgerald Lodge Apt. 529,Day,5
68,Cassandra,Thomas,Administrator,001-412-226-2979x852,cassandra@gmail.com,439 Lewis Keys,Night,19
69,Richard,Fletcher,Administrator,738.803.9485x2279,richard@yahoo.com,1586 Peterson Squares Suite 036,Day,3
70,Juan,Wright,Nurse,+1-541-965-0038x16250,juan@gmail.com,1022 Curry Throughway,Day,8
71,Brandy,Shaffer,Nurse,001-986-743-1170x713,brandy@gmail.com,011 Randall Port,Night,23
72,Ryan,Holt,Administrator,912-604-6117x319,ryan@gmail.com,022 Benton Circles Suite 358,Day,5
73,Brian,Becker,Administrator,+1-257-570-0993x87372,brian@hotmail.com,37901 Gallegos Underpass Apt. 870,Night,30
74,Nancy,Harrison,Administrator,001-630-399-5049x948,nancy@gmail.com,352 James Rest,Night,23
75,Shannon,Williams,Administrator,882-692-9450,shannon@hotmail.com,1035 Michael Islands Suite 928,Night,23
76,Justin,Boyd,Administrator,702.830.6981x011,justin@hotmail.com,06519 Gregory Junction,Day,6
77,Lori,Davis,Technician,+1-955-530-9868x238,lori@hotmail.com,3303 Douglas Fort,Day,23
78,Shelley,Holland,Technician,(659)342-1510x99351,shelley@yahoo.com,0428 Clark Common Apt. 561,Day,28
79,Amy,Washington,Nurse,(867)423-4381x06964,amy@yahoo.com,73155 Anthony Overpass,Night,20
80,Michael,Johnson,Nurse,(875)626-3416x1050,michael@gmail.com,2861 Lisa Views,Night,30
81,John,Burke,Technician,+1-500-705-7153,john@gmail.com,110 Gonzalez Square Suite 650,Night,23
82,Dennis,Baker,Technician,+1-485-593-4152x3090,dennis@hotmail.com,42546 Morris Path Suite 955,Day,16
83,Christopher,Rodriguez,Receptionist,834-424-4866,christopher@yahoo.com,9176 Cordova Pike Apt. 239,Night,17
84,Brian,Barr,Nurse,(531)967-8295x908,brian@gmail.com,7414 Rebecca Land Suite 151,Day,6
85,Erin,Ramirez,Administrator,+1-585-748-4653x92065,erin@yahoo.com,023 Carr Summit Apt. 624,Day,13
86,Patrick,Lewis,Nurse,939.730.6262x526,patrick@yahoo.com,627 Brandon Way,Night,17
87,Sophia,Richardson,Administrator,7802888741,sophia@hotmail.com,1905 Stephens Manors,Day,10
88,Jodi,Mcknight,Technician,(854)804-8520,jodi@gmail.com,4332 Derek Summit Suite 383,Night,17
89,Anna,Mcclure,Administrator,+1-452-954-8703x721,anna@yahoo.com,316 Wells Circles Apt. 174,Day,26
90,Vanessa,Pham,Nurse,881-713-4916x503,vanessa@yahoo.com,58139 Joseph Shoal Suite 042,Day,16
91,Joseph,Navarro,Receptionist,3082571429,joseph@hotmail.com,2979 James Inlet Suite 458,Night,30
92,Natalie,Lewis,Technician,(657)648-6753x3198,natalie@hotmail.com,91851 Kayla Canyon,Night,8
93,Amy,Meza,Technician,8313544286,amy@yahoo.com,844 Watson Land,Day,7
94,Matthew,Rivera,Receptionist,+1-979-295-4278,matthew@gmail.com,33134 Williams Road Suite 394,Day,7
95,Marie,Shaw,Technician,(794)741-5823x3756,marie@yahoo.com,3619 Kathy Spur Apt. 874,Night,29
96,Lisa,Johnson,Administrator,880-662-6676x2299,lisa@yahoo.com,52414 Anthony Crescent Apt. 463,Day,15
97,Eric,Richards,Administrator,2222359739,eric@yahoo.com,256 Higgins Manor,Day,8
98,Deanna,Cook,Administrator,878-404-5707,deanna@gmail.com,848 Mary Manors Suite 645,Day,26
99,Ana,Fisher,Technician,001-904-744-9747x2330,ana@gmail.com,74792 Johnson Road,Day,11
100,Rachel,Martinez,Technician,001-293-623-2315x083,rachel@gmail.com,370 Gregory Light Apt. 738,Night,22
101,Marc,Taylor,Technician,749.408.5321x3197,marc@yahoo.com,8441 Clayton Plains Suite 302,Night,5
102,Justin,Mann,Receptionist,+1-661-818-4189x712,justin@gmail.com,488 Ian Skyway Apt. 595,Night,30
103,Alyssa,Doyle,Nurse,568.647.4153x5124,alyssa@yahoo.com,0450 Ortiz Isle,Day,4
104,Clinton,Wong,Nurse,001-794-469-2149x1326,clinton@hotmail.com,440 Adams Fall,Day,21
105,Katherine,Spence,Nurse,+1-687-380-0047x02139,katherine@hotmail.com,344 Lane Stream,Day,15
106,Edward,Rodriguez,Receptionist,599-758-8045x3618,edward@gmail.com,958 Thomas Mill,Night,7
107,Jean,Palmer,Technician,899-780-7752x2032,jean@yahoo.com,99387 Timothy Station Suite 749,Night,28
108,Sarah,Gilbert,Administrator,(966)777-5498,sarah@yahoo.com,1193 Alisha Plains,Night,5
109,Eric,Jones,Technician,855-319-9220,eric@yahoo.com,615 Clark Oval Apt. 616,Day,6
110,Madison,Shaffer,Technician,712-724-2487,madison@yahoo.com,9176 Campbell Station,Night,26
111,Lisa,Sims,Nurse,7297002326,lisa@gmail.com,2073 Edwards Throughway,Night,21
112,Sarah,Dixon,Administrator,281-653-3568x6400,sarah@yahoo.com,822 Betty Stravenue Apt. 636,Day,8
113,George,Curtis,Administrator,(868)906-9127x95574,george@yahoo.com,26925 Erik Locks Suite 689,Day,10
114,Donald,Smith,Nurse,001-934-552-8242x84329,donald@gmail.com,84259 Evelyn Ferry,Day,20
115,Laurie,Martin,Nurse,001-300-915-6373,laurie@hotmail.com,71498 Laura Meadows,Night,6
116,Joel,Watson,Nurse,884-327-6997x00819,joel@hotmail.com,3997 Ware Ports,Day,27
117,Tanya,English,Administrator,(477)658-0607,tanya@hotmail.com,35786 William Trafficway Apt. 118,Night,1
118,Nancy,Roberts,Nurse,(868)904-7965x0602,nancy@gmail.com,08373 Tanya Harbor Apt. 900,Day,17
119,James,Lane,Receptionist,436.828.9497,james@yahoo.com,7941 Ryan Fords Apt. 626,Night,7
120,Lisa,Riley,Technician,+1-948-564-4716,lisa@gmail.com,6404 Pruitt Forges,Night,22
121,Joshua,Nelson,Administrator,(290)793-6595x858,joshua@yahoo.com,5281 Franklin Vista Suite 558,Night,6
122,Deborah,Brown,Technician,3703625311,deborah@gmail.com,707 Rachel Park Suite 760,Day,8
123,Kimberly,Stewart,Receptionist,+1-631-521-5488x21948,kimberly@yahoo.com,9639 King Spurs Suite 812,Day,27
124,Dana,Franklin,Nurse,(441)781-5835,dana@hotmail.com,6874 Michael Extension Apt. 565,Night,7
125,Robert,Nelson,Nurse,669-309-9099x23276,robert@hotmail.com,344 Anne Mountains,Night,5
126,William,Flores,Technician,(733)667-9393x044,william@hotmail.com,2347 Vargas Point,Night,14
127,Christopher,Harris,Nurse,9872610055,christopher@yahoo.com,966 Adams Squares,Night,3
128,Roy,Bender,Technician,878.977.0412x65928,roy@yahoo.com,44658 Jones Lake,Day,3
129,Andrew,Bauer,Nurse,260-337-1380x4720,andrew@gmail.com,2084 Charles Club,Night,7
130,Roy,Miles,Receptionist,(363)471-4713,roy@yahoo.com,354 Elizabeth Gateway,Night,25
131,Karen,King,Receptionist,001-480-217-1346x04959,karen@hotmail.com,6746 Ian Bypass,Night,12
132,Teresa,Perry,Receptionist,2763863797,teresa@hotmail.com,3099 Lee Heights Suite 283,Day,11
133,Christina,Guzman,Administrator,+1-883-646-1457x30215,christina@yahoo.com,973 Morris Points,Day,11
134,Carl,Daniel,Receptionist,(390)253-5305x1679,carl@gmail.com,574 Nicholas Burg Apt. 463,Night,9
135,David,Hill,Administrator,208.927.8957x0285,david@hotmail.com,738 Lisa Alley,Night,12
136,Arthur,Lopez,Nurse,001-477-308-8453x472,arthur@yahoo.com,31525 Nichols Loaf Apt. 957,Day,28
137,Heather,Caldwell,Technician,+1-200-750-7273,heather@yahoo.com,547 Chase Fords Apt. 439,Day,26
138,Jennifer,Montgomery,Administrator,(349)934-4012,jennifer@yahoo.com,57113 Bradley Fort,Night,11
139,Michael,Cook,Receptionist,+1-935-609-4029x05390,michael@yahoo.com,6793 Smith Street Apt. 145,Day,18
140,Olivia,Eaton,Administrator,001-495-439-4527x272,olivia@hotmail.com,528 Byrd Via,Night,8
141,Elaine,Miller,Administrator,857.572.9629x038,elaine@yahoo.com,742 Diane Hollow,Day,22
142,Shannon,Wise,Technician,5664770175,shannon@yahoo.com,1251 Tracy Shoal Suite 846,Day,30
143,Derek,White,Technician,886-298-9148x31618,derek@hotmail.com,4817 Robinson Pine,Night,21
144,Donald,Sawyer,Receptionist,+1-770-609-4094x820,donald@yahoo.com,18661 Sanders Meadow,Day,18
145,Michael,Perry,Receptionist,001-325-742-1668x83504,michael@gmail.com,6184 Williams Overpass Apt. 573,Night,7
146,Judith,Gilbert,Receptionist,(886)636-0470x11701,judith@gmail.com,23093 Hampton Haven,Night,29
147,Paula,Hawkins,Nurse,592.843.0909,paula@yahoo.com,50589 Ralph Shoal,Day,23
148,Megan,Brown,Technician,506.470.5802x7578,megan@hotmail.com,75774 Burnett Field,Day,4
149,Paul,Greene,Nurse,984-670-6795,paul@yahoo.com,46979 Cunningham Rue Apt. 371,Night,7
150,Curtis,Johnson,Nurse,001-582-467-0194x201,curtis@yahoo.com,3512 Brandon Points Apt. 872,Day,6
151,Vanessa,Hall,Technician,(699)546-1033,vanessa@gmail.com,11363 Ernest Roads,Day,29
152,Bonnie,Aguilar,Technician,(567)911-9771x9022,bonnie@hotmail.com,94025 White Valley,Day,2
153,Richard,Gilmore,Technician,790.500.8473x08200,richard@hotmail.com,1289 Ortiz Rest,Night,15
154,Zachary,Horton,Nurse,001-918-519-5302x31095,zachary@hotmail.com,322 Lewis Passage,Night,13
155,Sara,Marshall,Nurse,+1-501-991-9862,sara@yahoo.com,917 Jessica Grove Suite 167,Day,20
156,Barbara,Thompson,Receptionist,968-691-9004,barbara@yahoo.com,6921 Scott Flats Suite 729,Day,17
157,Sarah,Johnston,Technician,(377)910-7049,sarah@yahoo.com,9078 Aguilar Knoll Apt. 015,Night,25
158,Jaime,Peck,Technician,(915)955-1127,jaime@hotmail.com,69650 Kevin Walk Suite 274,Day,29
159,Terri,Ross,Administrator,402-806-6973x89182,terri@yahoo.com,325 Hart Port Apt. 331,Night,26
160,Christopher,Parker,Technician,636.282.9791x1893,christopher@yahoo.com,40586 Watkins Greens,Day,26
161,Dave,Bates,Nurse,001-405-625-7065x31797,dave@hotmail.com,003 Anderson Grove Suite 713,Night,23
162,Zachary,Reed,Receptionist,(959)969-6027x0388,zachary@gmail.com,5077 Sydney Burgs Apt. 010,Night,5
163,Brittany,Woodard,Technician,(691)507-6615,brittany@gmail.com,295 Johnson Views,Day,20
164,Kyle,Pope,Receptionist,493-744-7077x07553,kyle@yahoo.com,3686 Wallace Turnpike Suite 173,Night,14
165,Ronald,Coleman,Technician,001-522-201-0905x4340,ronald@hotmail.com,73009 Murillo Burg Apt. 237,Night,15
166,Maria,Irwin,Administrator,001-991-578-0543x44119,maria@hotmail.com,295 Padilla Island Apt. 095,Day,25
167,Makayla,Cooper,Technician,001-297-206-3094x070,makayla@yahoo.com,509 Costa Island Suite 858,Day,26
168,Aaron,Diaz,Administrator,743-507-7570x734,aaron@hotmail.com,4809 Fuller Plaza Suite 861,Night,8
169,Michael,Holland,Nurse,797.511.9554x194,michael@gmail.com,3418 Michael Mission Apt. 543,Night,29
